id	requiredPropositionGroups	requiredConditionGroups	forbiddenAnswerExpressions
msit-tving-investigation	경찰서 사이버수사대에 신고|경찰 사이버수사대 신고	스미싱 피해가 발생한 경우|피해 사실과 침해사고 확인	통신사에만 신고하면 종결
project-review-all-sw-projects	국가기관 등이 발주하는 소프트웨어사업은 과업심의 대상|모든 SW사업이 원칙적 대상	단순 하드웨어 등 제외 사유가 없는 경우|소프트웨어사업에 해당	운영 사업은 무조건 제외
project-review-exclusion-hardware	소프트웨어사업으로 볼 수 없는|단순 하드웨어는 비대상	-	하드웨어만 구매해도 심의한다
pre-consultation-public-agency	공공기관 정보화사업도 사전협의 대상|공공기관도 대상기관	대상 정보화사업에 해당|제외 사유가 없는 경우	공공기관은 모두 사전협의 제외
pre-consultation-plan-stage	사업계획 검토 단계에 사전협의|사업계획 수립 중 사전협의	예산 편성 전 검토|사업 추진 전	계약 체결 후에만 협의
security-review-sensitive-info	민감정보 처리 시스템은 보안성검토 대상|민감정보 시스템 검토 필요	민감정보를 처리하는 정보시스템	민감정보 여부는 보안과 무관
security-review-notice-result	검토기관이 보안성검토 결과를 통보|검토기관이 검토 결과를 통보	검토 요청기관에 통보|요청기관에 결과 통보	요청기관이 결과를 자체 승인
rfp-requirement-evaluation	요구사항과 평가요소를 함께 명시|요구사항 및 평가요소 기재	제안요청서를 작성할 때	요구사항만 쓰고 평가요소 생략
commercial-sw-direct-buy-exception	상용SW 직접구매에는 예외가 있다|직접구매 예외 가능	정해진 예외 사유 충족|직접구매 대상 여부 확인	금액과 상황을 보지 않고 모두 직접구매
procurement-digital-service-mall	디지털서비스몰은 구매 채널|디지털카탈로그는 구매 경로;계약방법은 별도로 판단|계약방식 별도 확인	디지털서비스몰에서 구매하는 경우	디지털서비스몰 구매는 자동 수의계약
privacy-consent-refusal	동의를 거부할 권리를 고지|동의 거부권 안내	개인정보 수집 이용 동의를 받을 때	동의를 거부하면 항상 신청 불가
cctv-public-place-rule	공개된 장소 CCTV 설치는 원칙적으로 금지|공개장소 설치 원칙적 금지	법령상 예외 사유가 있는 경우에만 설치|법령에서 구체적으로 허용	공개장소에 자유롭게 설치
cctv-retention-not-fixed-30	무조건 30일이 아니다|반드시 30일은 아니다|일률적으로 30일은 아니다	설치 목적|목적에 필요한 기간	영상 종류별 차이를 무시한 획일 기준
ai-law-enforcement-date	아직 시행예정|시행 전 법률	공식 시행일을 명시|기준일 현재 시행 상태 확인	공포 즉시 효력 발생
traffic-right-turn-pedestrian	횡단보도 앞에서 일시정지|우회전 차량은 정지	보행자가 있거나 통행하려는 경우	보행자가 있어도 서행 통과
whistleblower-disadvantage	불이익조치에 대해 보호조치를 신청|불이익조치 보호;비밀보장 대상	신고로 불이익을 받은 경우	신고자에게 불이익을 계속 부과
irm-faithfulness-meaning	충실성은 정보자원을 기한 내 등록하는 것|기한 내 정보자원 등록	등록 요청이 있는 경우	등록 누락도 충실성 충족
mois-autonomy-document-confusion	자치분권 사전협의와 정보화사업 사전협의는 다른 제도|두 사전협의는 별도 제도	대상기관과 목적이 서로 다름|각 제도의 대상과 목적 확인	두 제도는 완전히 동일
project-review-maintenance-check	유지보수도 소프트웨어사업이면 과업심의 대상|유지보수 사업도 대상일 수 있다	소프트웨어사업 해당 여부|제외 사유 확인	유지보수는 항상 심의 제외
project-review-scope-change	과업내용 변경은 과업심의와 관련|변경 과업도 심의 필요성을 검토	변경 범위와 사업 단계|소프트웨어사업의 과업 변경	과업 변경은 심의와 무관
pre-consultation-central-agency	중앙행정기관 정보화사업은 사전협의 대상|중앙행정기관이 대상기관	대상 정보화사업에 해당|제외 사유가 없는 경우	중앙행정기관은 모두 협의 제외
pre-consultation-excluded-project	사전협의 제외 사업이 있다|일부 정보화사업은 제외	정해진 제외 요건 충족|대상사업 여부 확인	제외사업 없음
security-review-major-infra	주요정보통신기반시설은 보안성검토 대상|주요 기반시설 검토 필요	관련 정보시스템을 구축 변경하는 경우	기반시설 여부는 보안과 무관
security-review-skip-condition	참여 인력이 시스템에 접근하지 않으면 보안성검토를 생략|시스템에 접근하지 않는 DB 구축·콘텐츠 제작 용역은 검토 생략	참여 인력이 시스템에 접근하면 보안성검토 대상|시스템 접근이 있으면 검토 대상	담당자 판단만으로 생략
rfp-requirement-method	요구사항과 평가방법을 함께 명시|요구사항 및 평가방법 기재	제안요청서를 작성할 때	낙찰자 선정 뒤 기준을 임의 변경
commercial-sw-direct-buy-target	종합쇼핑몰에 등록된 상용소프트웨어는 직접구매 대상|디지털서비스몰에 등록된 상용소프트웨어는 직접구매 대상	품질 인증 소프트웨어는 5천만원 이상인 경우 직접구매 대상|GS·CC·NEP·NET 인증 소프트웨어는 5천만원 이상이면 직접구매 대상	모든 소프트웨어를 통합발주
procurement-catalog-vs-contract	디지털카탈로그와 수의계약은 다른 개념|구매 채널과 계약방식은 구분	계약 요건에 따라 계약방법 판단	구매 담당자가 계약방식을 임의 결정
public-data-portal-manual-application	공공기관 공공데이터베이스가 적용 대상|공공DB가 표준화 적용 범위	공공기관이 구축 운영하는 데이터베이스	민간 데이터 전체에 강제 적용
privacy-consent-items-law	수집 이용 목적을 고지|수집·이용 목적;수집하는 개인정보 항목을 고지|수집 항목;보유기간과 동의 거부권을 고지|보유 및 이용기간과 거부권	개인정보 수집 이용 동의를 받을 때	백지 동의서도 유효|구두 동의만 받으면 충분
privacy-processing-principle	개인정보 처리 목적을 명확하게 해야 한다|처리 목적 명확화	목적에 필요한 최소한의 범위	포괄적 목적이면 충분
pseudonym-extra-info-separate	추가정보를 분리해서 보관|추가정보 별도 보관	가명정보를 처리하는 동안|재식별 위험 방지	추가정보를 한 파일에 함께 보관
traffic-right-turn-stop-rule	횡단보도 앞 일시정지|우회전 시 정지	보행자가 있거나 통행하려는 경우	보행자보다 차량 우선
whistleblower-protection-action	불이익조치에 대한 보호조치를 받을 수 있다|보호조치 신청 가능	공익신고로 불이익을 받은 경우	보복성 인사조치를 계속 허용
irm-measure-period	평가기간은 2025년 12월 17일부터 2026년 10월 31일까지|2025. 12. 17 ~ 2026. 10. 31	평가기간 동안 요청 수와 완료 수를 합산|평가기간 중 요청 건수와 완료 건수를 집계	연중 아무 때나 측정
mois-autonomy-request-docs	사전협의 요청서를 제출|요청서 작성 제출;지방자치 관련성을 검토|관련성 검토;협의 결과서를 통보|결과 통보	-	요청서 없이 자동 승인
privacy-retention-notice	보유 및 이용기간을 고지|보유기간 안내	개인정보 수집 이용 동의를 받을 때	보유기한은 기관 내부에서만 결정
privacy-minimum-collection	필요한 최소한의 개인정보만 수집|최소 수집 원칙	명확한 처리 목적 범위 안에서	가능한 모든 정보 수집
privacy-destruction-principle	개인정보를 지체 없이 파기|보유기간 경과 후 파기	보유기간이 지났거나 목적이 달성된 경우	기간 경과 후 계속 보관
cctv-install-purpose-limit	설치 목적 범위 안에서만 운영|목적 범위 내 CCTV 운영;촬영범위를 필요한 범위로 제한|필요한 촬영범위	고정형 영상정보처리기기를 운영할 때	감시 대상을 임의로 확대
cctv-retention-period	영상 보관기간을 정해야 한다|개인영상정보 보관기간 설정;기간이 지나면 파기|보관기간 경과 후 파기	고정형 영상정보처리기기를 운영할 때	촬영 영상을 삭제하지 않고 축적
public-data-open-format	기계판독 가능한 형태로 제공|오픈포맷으로 제공	공공데이터를 개방 제공할 때	이미지 파일만 제공
public-data-meta-management	메타데이터를 관리해야 한다|메타데이터 관리 필요	공공데이터베이스 표준화 과정	원본 데이터만 두고 항목 정의는 생략
mois-national-safety-plan	적용 기간은 2025년부터 2029년|2025년~2029년;재난안전관리 중장기 목표와 기본방향|중장기 목표 및 기본방향	-	1년짜리 단기계획|2030년부터 적용
law-effective-date-check	시행예정이라고 밝혀야 한다|시행 전임을 표시	공식 시행일을 함께 제시|기준일 현재 시행 상태 확인	현행 법률이라고 단정
admrul-notice-exception	면제 예외 인정 시 안전기준과 위험평가를 검토|안전기준 및 위험평가 검토	항공안전 관련 예외 처리절차|면제 요건 확인	위험평가 없이 자동 면제
no-unrelated-privacy-for-sw	과업심의와 소프트웨어사업 근거로 답해야 한다|질문의 과업심의 근거를 사용	과업심의 대상사업 여부를 판단	개인정보보호법만으로 과업심의 결론
public-data-obligation-system	공공기관은 제공대상 공공데이터를 제공해야 한다|공공데이터 제공 의무	해당 데이터가 제공대상인 경우|비공개 제외 사유가 없는 경우	공공데이터 공개는 민간기업만 담당
