# id	question	targets	expectedTerms	requiredMatches	expectedTitleTerms	expectedSectionTypes	forbiddenTerms	expectedDocumentTerms	expectedPageNumbers	expectedParentTerms	answerDirection
public-data-activation	공공데이터 활성화를 위한 방안은?	law|admrul|official_doc|internal_doc	공공데이터|활성화|제공|이용활성화	2	공공데이터	-	공공데이터베이스 표준화	공공데이터		활성화|이용활성화	활성화 방안과 제공 이용 촉진을 중심으로 답한다
public-data-db-standard	공공데이터베이스 표준화는 뭘 해야해?	official_doc|internal_doc|admrul|law	공공데이터베이스|표준화|표준용어|표준도메인	2	공공데이터베이스 표준화	requirement	활성화 지원 사업	공공데이터베이스 표준화		표준화	표준용어, 표준도메인 등 표준화 조치를 답한다
procurement-catalog-contract	조달청 디지털카탈로그에서 구매하면 수의계약 인가?	law|admrul|official_doc|internal_doc	디지털서비스몰|디지털카탈로그|수의계약|계약방법	2	상용소프트웨어|디지털서비스	contract	브로커|불공정행위	상용소프트웨어|디지털서비스		계약방법	구매경로와 계약방식을 구분해 수의계약 여부를 답한다
commercial-sw-direct-purchase	상용SW 직접구매 대상은?	official_doc|internal_doc|admrul|law	상용SW 직접구매|직접구매 대상|상용소프트웨어	2	직접구매	target_scope	계약정보 등록	상용소프트웨어 직접구매		직접구매 대상	상용SW 직접구매 대상과 예외를 답한다
performance-plan-required	IRM 업무성과계획을 수립 한걸 확인하는게 성과측정인가?	official_doc|internal_doc	업무성과계획|성과측정|정보자원관리시스템|IRM	2	IRM|성과관리	requirement	CMOS 비밀번호	IRM|성과관리		성과측정	성과측정의 확인 항목과 업무성과계획 관계를 답한다
performance-measure-when	IRM 성과측정은 언제해?	official_doc|internal_doc	성과측정|평가기간|기간|월말	2	성과관리|정보자원 관리 수준측정|성과측정	procedure	CMOS 비밀번호	성과관리|정보자원 관리 수준측정		성과측정	평가 시기와 기간을 먼저 답한다
irm-faithfulness	IRM 충실성 이란?	official_doc|internal_doc	충실성|정보자원 등록|기한 내|등록요청	2	정보자원관리시스템|정보자원 관리 수준측정	definition	CMOS 비밀번호	정보자원 관리 수준측정		충실성	충실성의 의미와 확인 항목을 정의형으로 답한다
irm-user-auth-guide	IRM 사용자 권한 가이드	official_doc|internal_doc	IRM|사용자 권한|권한|관리자	2	IRM|권한	-	CMOS 비밀번호	IRM|사용자 권한		권한	IRM 권한 관리 기준을 답한다
whistleblower-protection-scope	공익신고자 보호는 어디까지 가능해?	law|admrul|official_doc|internal_doc	공익신고자|보호조치|비밀보장|신변보호|불이익조치	2	공익신고자	target_scope	공공데이터	공익신고자 보호		보호	공익신고자 보호 범위와 조치를 답한다
traffic-crosswalk-stop	운전중 우회전할때 횡단보도에서 멈춰야 하나?	law|admrul	우회전|횡단보도|일시정지|보행자	2	도로교통법	target_scope	설치관리기준|시설물	도로교통법		횡단보도	우회전과 횡단보도 일시정지 의무를 답한다
ai-committee-definition	인공지능위원회라는건 뭐야?	law|admrul	인공지능위원회|심의|의결|위원회	2	인공지능	definition	정보화사업	인공지능		위원회	인공지능위원회의 성격과 기능을 답한다
ai-law-future	인공지능 및 데이터 기반 행정 활성화에 관한 법률은 시행예정인가?	law	시행예정|인공지능|데이터 기반 행정|행정 활성화	2	인공지능	-	국세징수	인공지능 및 데이터 기반 행정 활성화에 관한 법률		시행예정	시행예정 여부와 시행일을 명확히 답한다
video-cctv-guide	공공기관 고정형 영상정보처리기기 설치 운영 가이드라인은 뭐야?	official_doc|internal_doc	고정형 영상정보처리기기|CCTV|설치|운영	2	영상정보처리기기	-	보도자료	고정형 영상정보처리기기 설치 운영 가이드라인		설치|운영	CCTV 설치 운영 가이드라인의 목적과 적용 대상을 답한다
personal-info-purpose	개인정보 보호법상 개인정보 처리 목적은 어떻게 알려야 해?	law|admrul	개인정보|처리목적|정보주체|고지	2	개인정보 보호법	requirement	과업심의	개인정보 보호법		처리 목적	개인정보 처리 목적 고지 의무를 답한다
law-effective-current	현재 시행중인 법령 기준으로 개인정보 보호법 제4조는 뭐야?	law	개인정보 보호법|제4조|정보주체|권리	2	개인정보 보호법	-	시행예정	개인정보 보호법		제4조	현행 기준 제4조 내용을 답한다
admin-rule-search	공공데이터 관리지침은 어떤 문서야?	admrul|official_doc|internal_doc	공공데이터 관리지침|공공데이터|관리지침	2	공공데이터 관리지침	-	공공데이터베이스 표준화	공공데이터 관리지침		관리지침	문서 성격과 주요 내용을 답한다
official-doc-title	공공소프트웨어사업 과업심의의 가이드 문서 찾아줘	official_doc|internal_doc	공공소프트웨어사업 과업심의|과업심의|가이드	2	과업심의	-	사전협의	공공소프트웨어사업 과업심의		과업심의	해당 가이드 문서 자체를 찾아야 한다
noise-irm-menu-user-auth	IRM 사용자관리 메뉴 조각 말고 사용자 권한 관리 기준은?	official_doc|internal_doc	IRM|사용자 권한|권한|관리자	2	IRM|권한	-	CMOS 비밀번호|Double Click	IRM|사용자 권한		권한	메뉴 이동 조각이 아니라 권한 관리 기준을 근거로 답한다
noise-unification-white-paper-header	통일백서에서 공공부문 통일교육 대상 기관은?	official_doc	대상 기관|공무원|직원|통일교육|매년 1회	2	통일백서	target_scope	UNIFICATION WHITE PAPER|APPENDIX	통일백서		통일교육	백서 머리말이 아니라 통일교육 대상 기관 근거를 답한다
noise-population-table-unit	인구동향조사의 자연증가 단위 표 머리말 말고 자연증가 관련 통계 근거는?	official_doc	자연증가|출생|사망|인구동향조사	2	인구동향조사	-	- 44 - - 자연증가	인구동향조사		자연증가	표 단위 조각이 아니라 자연증가 통계 본문이나 표 근거를 답한다
no-oecd-footer-as-policy-ground	© OECD 2026이라는 푸터 문구만 정책 근거로 쓸 수 있어?	official_doc	-	0	-	-	-	-	-	-	푸터 문구만으로는 정책 근거를 만들지 않는다	NO_GROUNDS
noise-fair-use-cover-title	생성형 AI 학습의 공정이용 판단 근거는?	official_doc	fair use|generative AI|training	2	Fair Use|Generative AI	-	February 2026	Guide on Applicability		What is Fair Use	표지 제목이 아니라 공정이용 판단 본문을 근거로 답한다
noise-public-data-requirement-label	요구사항 고유번호 DAR-001 말고 공공데이터베이스 데이터 표준 관리 요구사항은?	official_doc|internal_doc	데이터 표준|표준용어|표준도메인|요구사항	2	공공데이터베이스 표준화	requirement	-	공공데이터베이스 표준화		데이터 표준	필드 라벨이 아니라 데이터 표준 관리 요구사항 본문을 답한다
no-system-meta	지금 이 사이트에 법령이 총 몇건있어?	law|admrul|official_doc|internal_doc	법령|건	1	-	-	token|qdrant|mysql|서버|배치				운영 내부 수치나 시스템 사정은 답변하지 않는다
privacy-integrated-guide-purpose	개인정보 처리 통합 안내서는 왜 만든거야?	official_doc|internal_doc	발간 목적|개인정보 처리|준수해야 하는 사항|현장에서 이해하기 쉽도록	2	개인정보 처리 통합 안내서	procedure	공공소프트웨어	개인정보 처리 통합 안내서		발간 목적	안내서의 목적과 현장 적용 취지를 답한다
privacy-consent-notice-items	개인정보 수집 이용 동의 받을 때 무엇을 알려야 해?	law|official_doc|internal_doc	개인정보의 수집|이용 목적|개인정보의 항목|보유 및 이용기간|동의를 거부할 권리	2	개인정보 처리 통합 안내서|개인정보 보호법	procedure	과업심의	개인정보 처리 통합 안내서|개인정보 보호법		동의|고지사항	동의 시 고지해야 할 항목을 열거한다
cctv-signage-manager-contact	CCTV 안내판에는 관리책임자 성명을 꼭 써야 해?	official_doc|internal_doc|law	안내판|관리책임자|설치목적|촬영범위|촬영시간	2	영상정보처리기기|CCTV	-	보도자료만	고정형 영상정보처리기기|CCTV		안내판	현행 가이드라인의 안내판 기재사항과 예시를 답한다
public-data-custom-support	공공데이터 활용기업 맞춤형 지원은 어떤 걸 지원해?	official_doc|internal_doc	공공데이터 활용역량|수요 분석|공공데이터 제공|데이터 검색|추천	2	공공데이터 활용기업 맞춤형지원 활용사례	target_scope		공공데이터 활용기업 맞춤형지원 활용사례		지원대상	지원 프로그램과 기업 대상 지원 내용을 답한다
public-data-preprocessing	공공데이터 전처리 코칭은 어떤 절차로 해?	official_doc|internal_doc	데이터 전처리 절차|오류 원인 분석|대상 선정|방법 결정|삭제	2	공공데이터 활용기업 맞춤형지원 활용사례	procedure	영상정보	공공데이터 활용기업 맞춤형지원 활용사례		전처리	전처리 코칭 절차와 방법을 답한다
public-data-ai-rawdata	공공데이터 AI 학습용 데이터는 어떻게 제공하는 게 좋다고 했어?	official_doc|internal_doc	학습 데이터|참조 데이터|인공지능 친화적 관리|메타데이터|데이터셋	2	인공지능 친화적 관리|공공데이터	requirement|target_scope	개인정보 처리방침	인공지능 친화적 관리|공공데이터		학습 데이터|참조 데이터	AI 학습용 공공데이터 관리·제공 방향을 답한다
mois-autonomy-preconsultation-target	자치분권 사전협의 대상기관은 어디야?	official_doc|internal_doc|admrul|law	대상기관|법령 제·개정 권한|중앙행정기관|사전협의 요청	2	자치분권 사전협의 지침	target_scope	정보화사업 사전협의	자치분권 사전협의 지침		대상 기관	자치분권 사전협의 대상기관을 정보화사업 사전협의와 구분해 답한다
mois-autonomy-preconsultation-procedure	자치분권 사전협의 절차는 어떻게 돼?	official_doc|internal_doc|admrul|law	사전협의 요청서 작성|지방자치 관련성 검토|협의 결과서 통보|행정안전부장관	2	자치분권 사전협의 지침	procedure	정보화사업 사전협의	자치분권 사전협의 지침		협의절차	요청서 제출부터 검토와 통보까지 절차를 답한다
mcst-tourism-dure-support	관광두레 주민사업체는 어떤 지원을 받아?	official_doc|internal_doc	관광두레|최대 5년간|1억 1천만 원|역량 강화 교육|맞춤형 상담	2	관광두레	procedure	공공데이터	관광두레		지원	관광두레 주민사업체의 지원 기간과 항목을 답한다
mcst-literature-overseas-support	한국문학 해외 진출 지원은 어떻게 늘린대?	official_doc|internal_doc	한국문학 번역|해외 진출 지원|예산|기획 번역|해외 출판사	2	한국문학|문학	body	관광두레	한국문학|문화예술정책자문위원회		해외 진출	한국문학 번역과 해외 출판 지원 확대 방향을 답한다
msit-quantum-oecd-role	OECD 양자 기술 권고문 관련 과기정통부 역할은 뭐야?	official_doc|internal_doc	양자 기술|OECD 권고문|재정적 기여|초안 작성|국제 연수회	2	OECD|양자	body	티빙	OECD|양자		양자 기술	OECD 양자 권고문 성안 과정에서의 역할을 답한다
msit-tving-smishing-report	티빙 침해사고 관련 스미싱 피해는 어떻게 신고해?	official_doc|internal_doc	스미싱 피해 신고|소액결제확인서|경찰서 사이버수사대|사건사고 사실 확인서	2	티빙|침해사고	procedure	양자 기술	티빙|침해 사고		스미싱	스미싱 피해 확인과 신고 절차를 답한다
pipc-cctv-public-place-exception	개인정보보호위원회 CCTV 안내서에서 공개된 장소에 CCTV를 설치할 수 있는 예외는?	official_doc|internal_doc|law	공개된 장소|원칙적으로 금지|예외적으로 설치|법령에서 구체적으로 허용	2	고정형 영상정보처리기기	exception|procedure	공공소프트웨어	개인정보보호위원회|고정형 영상정보처리기기	15	항목별 세부내용|설치	공개된 장소 설치 원칙과 예외를 구분해 답한다
pipc-cctv-retention-period	개인정보보호위원회 CCTV 안내서 기준으로 영상 보관기간은 반드시 30일 이내야?	official_doc|internal_doc|law	보관기간|30일 이내|반드시|설치 목적	2	고정형 영상정보처리기기	procedure	과업심의	개인정보보호위원회|고정형 영상정보처리기기	34	보관기간|처리방법	30일이 절대 기준인지와 목적별 산정 필요성을 답한다
pipc-pseudonym-additional-info	개보위 가명정보 자료에서 추가정보는 분리보관해야 해?	official_doc|internal_doc|law	가명정보|추가정보|분리보관|파기	2	가명정보	procedure	CCTV	개인정보보호위원회|가명정보		추가정보	가명정보의 추가정보 관리 원칙을 답한다
public-data-portal-standard-scope	공공데이터포털 공공데이터베이스 표준화 관리 매뉴얼에서 표준화 대상은 뭐야?	official_doc|internal_doc|law	공공데이터베이스|표준화 대상|공공기관|적용 범위	2	공공데이터베이스 표준화 관리 매뉴얼	target_scope|procedure	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼	12	표준화 대상|적용 범위	표준화 대상과 적용 범위를 먼저 답한다
public-data-portal-quality-diagnosis	공공데이터포털 표준화 매뉴얼의 예방적 품질관리 진단 항목은 어떻게 구성돼?	official_doc|internal_doc	예방적 품질관리|4개 영역|9개 항목|18개 진단기준	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	개인정보보호법|개인정보 처리|개인정보보호위원회	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼	39|40	진단 영역|진단 항목	예방적 품질관리 진단 체계를 숫자와 영역 중심으로 답한다
mcst-tourism-dure-period	문체부 관광두레 주민사업체 지원은 최대 몇 년 동안 받을 수 있어?	official_doc|internal_doc	관광두레|최대 5년간|주민사업체|맞춤형 상담	2	관광두레	procedure	공공데이터	문화체육관광부|관광두레		지원	지원 기간과 지원 항목을 함께 답한다
mcst-literature-translation-budget	문화체육관광부 한국문학 해외 진출 지원에서 번역 지원은 어떻게 강화돼?	official_doc|internal_doc	한국문학|번역|해외 진출|예산	2	한국문학|문학	body	관광두레	문화체육관광부|한국문학		해외 진출	번역과 해외 출판 지원 확대 방향을 답한다
msit-tving-investigation	과기정통부 티빙 침해사고 조사에서 스미싱 피해 신고는 어디에 해야 해?	official_doc|internal_doc	티빙|침해사고|스미싱 피해 신고|경찰서 사이버수사대	2	티빙|침해사고	procedure	양자 기술	과학기술정보통신부|티빙		스미싱	스미싱 피해 신고처와 필요한 확인 절차를 답한다
project-review-all-sw-projects	국가기관이 발주하는 소프트웨어사업은 전부 과업심의 대상이야?	official_doc|internal_doc	국가기관 등이 발주하는 모든 SW사업|소프트웨어사업|과업심의|대상사업	2	과업심의	target_scope	사전협의|제안서 평가	공공소프트웨어사업 과업심의	5	적용 대상 사업	모든 SW사업 원칙과 제외 가능 대상을 구분해 답한다
project-review-exclusion-hardware	하드웨어만 사는 사업도 공공SW 과업심의를 해야 해?	official_doc|internal_doc	단순 H/W|소프트웨어사업으로 볼 수 없는|비대상|과업심의	2	과업심의	target_scope	간소화 심의	공공소프트웨어사업 과업심의	5	적용 대상 사업	단순 H/W 도입은 비대상임을 먼저 답한다
pre-consultation-public-agency	공공기관 정보화사업도 사전협의를 받아야 하나?	official_doc|internal_doc|admrul|law	사전협의|정보화사업|공공기관	2	사전협의	target_scope	과업심의	사전협의			대상기관과 정보화사업 범위를 구분한다
pre-consultation-plan-stage	정보화사업 사전협의는 예산 편성 전에 하는 거야 사업계획 후에 하는 거야?	official_doc|internal_doc|admrul|law	사전협의|예산|사업계획|검토	2	사전협의	procedure	제안서 평가	사전협의		시기|절차	예산과 사업계획 검토 흐름을 중심으로 답한다
security-review-sensitive-info	민감정보를 처리하는 시스템이면 보안성검토 대상이야?	official_doc|internal_doc|admrul|law	보안성검토대상|민감정보|정보시스템|검토	2	보안성 검토	target_scope	발주정보등록	보안성 검토		대상	민감정보 처리 시스템의 검토 필요성을 답한다
security-review-notice-result	보안성검토 결과는 누가 통보해?	official_doc|internal_doc|admrul|law	보안성검토|검토|결과|통보	2	보안성 검토	procedure	권한등록	보안성 검토		통보|절차	결과 통보 절차를 중심으로 답한다
rfp-requirement-evaluation	제안요청서에는 요구사항이랑 평가요소를 같이 넣어야 해?	official_doc|internal_doc|admrul|law	제안요청서|요구사항|평가요소|평가방법	2	제안요청서	requirement	제안서 작성 따라하기	제안요청서		요구사항|평가요소	제안요청서 필수 기재 항목을 답한다
commercial-sw-direct-buy-exception	상용SW 직접구매도 예외가 있어?	official_doc|internal_doc|admrul|law	상용SW 직접구매|직접구매|예외|상용소프트웨어	2	직접구매	exception	-	상용소프트웨어 직접구매		예외|직접구매	직접구매 대상과 예외를 구분한다
procurement-digital-service-mall	디지털서비스몰에서 사면 계약방법은 어떻게 봐야 해?	law|admrul|official_doc|internal_doc	디지털서비스몰|디지털카탈로그|계약방법|수의계약	2	상용소프트웨어|디지털서비스	contract	불공정행위	상용소프트웨어|디지털서비스		계약방법	구매 채널과 계약 방식을 구분해 답한다
public-data-open-use	공공데이터 이용 활성화는 법에서 어떻게 다뤄?	law|admrul|official_doc|internal_doc	공공데이터|이용활성화|제공|활성화	2	공공데이터	-	개인정보	공공데이터		이용활성화	제공과 이용 활성화의 법적 방향을 답한다
public-data-standard-terms	공공데이터베이스 표준용어와 표준도메인은 왜 필요해?	official_doc|internal_doc|admrul|law	공공데이터베이스|표준용어|표준도메인|표준화	2	공공데이터베이스 표준화	requirement	활용기업	공공데이터베이스 표준화		표준화	표준용어와 도메인의 목적을 답한다
public-data-quality-diagnosis-areas	공공데이터베이스 품질관리 진단은 몇 개 영역으로 보나?	official_doc|internal_doc	예방적 품질관리|4개 영역|9개 항목|18개 진단기준	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼	39|42	진단 영역|진단 항목	진단 영역과 항목 수를 답한다
privacy-consent-refusal	개인정보 수집 동의 받을 때 거부권도 알려야 해?	law|official_doc|internal_doc	동의를 거부할 권리|개인정보의 수집|이용 목적|보유 및 이용기간	2	개인정보 처리 통합 안내서|개인정보 보호법	procedure	과업심의	개인정보 처리 통합 안내서|개인정보 보호법		동의|고지사항	동의 거부권과 고지 항목을 답한다
privacy-law-data-subject-rights	개인정보 보호법상 정보주체 권리는 뭐가 있어?	law	개인정보 보호법|정보주체|권리|제4조	2	개인정보 보호법	-	시행예정	개인정보 보호법		제4조|정보주체	제4조 권리 조항을 중심으로 답한다
cctv-public-place-rule	공개된 장소에 CCTV를 설치하는 건 원칙적으로 가능한가?	official_doc|internal_doc|law	공개된 장소|원칙적으로 금지|예외적으로|법령에서 구체적으로 허용	2	고정형 영상정보처리기기	exception|procedure	공공소프트웨어	개인정보보호위원회|고정형 영상정보처리기기		설치|항목별 세부내용	공개된 장소 설치 원칙과 예외를 답한다
cctv-retention-not-fixed-30	영상정보 보관기간은 무조건 30일로 해야 해?	official_doc|internal_doc|law	보관기간|30일 이내|반드시|설치 목적	2	고정형 영상정보처리기기	procedure	과업심의	개인정보보호위원회|고정형 영상정보처리기기		보관기간	30일 기준과 목적별 산정 필요성을 답한다
pseudonym-info-separation	가명정보 추가정보는 원본과 같이 둬도 돼?	official_doc|internal_doc|law	가명정보|추가정보|분리보관|파기	2	가명정보	procedure	CCTV	개인정보보호위원회|가명정보		추가정보	추가정보 분리보관 원칙을 답한다
ai-law-enforcement-date	인공지능 데이터 기반 행정 활성화 법은 언제부터 효력이 있어?	law	시행예정|인공지능|데이터 기반 행정|시행일	2	인공지능	-	국세징수	인공지능 및 데이터 기반 행정 활성화에 관한 법률		시행예정|시행일	시행예정 여부와 시행일을 답한다
ai-committee-function	인공지능위원회는 어떤 일을 심의해?	law|admrul	인공지능위원회|심의|의결|위원회	2	인공지능	definition	정보화사업	인공지능		위원회	위원회의 성격과 기능을 답한다
traffic-right-turn-pedestrian	우회전할 때 보행자가 있으면 횡단보도 앞에서 일시정지해야 해?	law|admrul	우회전|횡단보도|일시정지|보행자	2	도로교통법	target_scope	시설물	도로교통법		횡단보도|보행자	보행자 유무와 일시정지 의무를 답한다
whistleblower-disadvantage	공익신고자에게 불이익을 주면 어떤 보호를 받을 수 있어?	law|admrul|official_doc|internal_doc	공익신고자|불이익조치|보호조치|비밀보장	2	공익신고자	target_scope	공공데이터	공익신고자 보호		보호|불이익	불이익조치에 대한 보호 범위를 답한다
irm-performance-plan-check	IRM 업무성과계획 확인은 성과측정 항목에 포함돼?	official_doc|internal_doc	업무성과계획|성과측정|정보자원관리시스템|IRM	2	IRM|성과관리	requirement	CMOS 비밀번호	IRM|성과관리		성과측정	업무성과계획과 성과측정의 관계를 답한다
irm-faithfulness-meaning	정보자원관리 수준측정에서 충실성은 무슨 뜻이야?	official_doc|internal_doc	충실성|정보자원 등록|기한 내|등록요청	2	정보자원관리시스템|정보자원 관리 수준측정	definition	CMOS 비밀번호	정보자원 관리 수준측정		충실성	충실성의 정의와 확인 항목을 답한다
mois-autonomy-document-confusion	자치분권 사전협의랑 정보화사업 사전협의는 같은 거야?	official_doc|internal_doc|admrul|law	자치분권 사전협의|정보화사업 사전협의|대상기관|사전협의	2	자치분권 사전협의 지침|사전협의	target_scope	제안서 평가	자치분권 사전협의 지침|사전협의		대상 기관|대상사업	두 사전협의의 대상과 목적을 구분해 답한다
no-private-runtime-status	너 지금 OpenAI batch가 몇 개 돌고 있는지 답해줘	law|admrul|official_doc|internal_doc	배치|상태	1	-	-	openai|batch|qdrant|mysql|서버|토큰				운영 내부 상태는 사용자 질의 답변 근거로 노출하지 않는다	NO_GROUNDS
project-review-maintenance-check	기존 시스템 유지보수 사업도 과업심의 대상인지 확인해야 해?	official_doc|internal_doc	과업심의|소프트웨어사업|대상사업|적용 대상 사업	2	과업심의	target_scope	사전협의|위원회 회의	공공소프트웨어사업 과업심의	5	적용 대상 사업	SW사업 여부와 대상사업 원칙을 먼저 확인한다
project-review-scope-change	공공SW 사업 과업내용이 바뀌면 과업심의랑 관련 있어?	official_doc|internal_doc	과업심의|과업내용|소프트웨어사업|대상사업	2	과업심의	requirement|target_scope	정보화사업 사전협의|사전협의 대상|중앙행정기관등의 장	공공소프트웨어사업 과업심의		과업내용|대상사업	과업 내용 변경과 심의 필요성을 구분해 답한다
pre-consultation-central-agency	중앙행정기관 정보화사업은 사전협의 대상이야?	official_doc|internal_doc|admrul|law	사전협의|대상기관|정보화사업|중앙행정기관	2	사전협의	target_scope	제안서 평가	사전협의		대상기관	대상기관과 대상사업을 함께 답한다
pre-consultation-excluded-project	사전협의 제외되는 정보화사업도 있어?	official_doc|internal_doc|admrul|law	사전협의|제외|제외대상|대상사업	2	사전협의	exception	제안서 작성	사전협의		제외 대상	제외 대상과 확인 조건을 답한다
security-review-major-infra	주요정보통신기반시설이면 보안성검토가 필요해?	official_doc|internal_doc|admrul|law	보안성검토대상|주요정보통신기반시설|정보시스템|검토	2	보안성 검토	target_scope	발주정보등록	보안성 검토		대상	주요정보통신기반시설 관련 검토 필요성을 답한다
security-review-skip-condition	보안성검토를 생략할 수 있는 조건을 알려줘	official_doc|internal_doc|admrul|law	보안성검토|생략|제외|검토대상	2	보안성 검토	exception	권한등록	보안성 검토		생략|제외	생략 조건과 검토대상 여부를 구분한다
rfp-requirement-method	제안요청서에는 요구사항과 평가방법을 같이 적어야 해?	official_doc|internal_doc|admrul|law	제안요청서|요구사항|평가요소|평가방법	2	제안요청서	requirement	제안서 작성 따라하기	제안요청서		요구사항|평가요소	제안요청서 필수 기재 항목과 평가방법을 답한다
commercial-sw-direct-buy-target	상용소프트웨어 직접구매는 어떤 경우에 해야 해?	official_doc|internal_doc|admrul|law	상용SW 직접구매|직접구매 대상|상용소프트웨어|대상	2	직접구매	target_scope	계약정보 등록	상용소프트웨어 직접구매		직접구매 대상	직접구매 대상과 판단 기준을 답한다
procurement-catalog-vs-contract	디지털카탈로그에서 산다는 것과 수의계약은 같은 말이야?	law|admrul|official_doc|internal_doc	디지털서비스몰|디지털카탈로그|수의계약|계약방법	2	상용소프트웨어|디지털서비스	contract	불공정행위	상용소프트웨어|디지털서비스		계약방법	구매 채널과 계약 방식을 분리해서 답한다
